bikeID,station,inUse,UserID
P101,21,0,0
P102,21,1,0
P103,21,0,0
P104,21,0,0
P105,24,0,0
P106,24,0,0
P107,30,0,0
P108,30,0,0
P109,30,0,0
P110,30,0,0
P111,30,0,0
P112,30,0,0
P113,30,0,0
P114,30,0,0
P115,25,0,0
P116,25,0,0
P117,25,0,0
P118,25,0,0
P119,25,0,0
P120,25,0,0
P121,29,0,0
P122,29,0,0
P123,29,0,0
P124,29,0,0
P125,33,0,0
P126,33,0,0
P127,33,0,0
P128,33,0,0
P129,33,0,0
P130,33,0,0
P131,33,0,0
P132,33,0,0
P133,20,0,0
P134,20,0,0
P135,20,0,0
P136,20,0,0
P137,20,0,0
P138,20,1,6663
P139,26,0,0
P140,26,0,0
P141,26,0,0
P142,26,0,0
P143,26,0,0
P144,23,0,0
P145,23,0,0
P146,23,0,0
P147,23,0,0
P148,23,0,0
P149,23,0,0
P150,27,0,0
P151,27,0,0
P152,27,0,0
P153,31,0,0
P154,31,0,0
P155,31,0,0
P156,28,0,0
P157,28,0,0
P158,28,0,0
P159,28,0,0
P160,28,0,0
P161,32,0,0
P162,32,0,0
P163,32,0,0
P164,32,0,0
P165,32,0,0
P166,32,0,0
P167,32,0,0
P168,32,0,0
P169,22,0,0
P170,22,0,0
P171,22,0,0
P172,22,0,0
P173,22,0,0
P174,22,0,0
P175,22,0,0
P176,22,0,0
